Marka;Seri;Model;Yil;Yakit;Vites;Motor Hacmi;Motor Gücü;Km;Ilan Tarihi;Fiyat
 Audi   ; A4   ; A4 Sedan 1.4 TFSI   ; 2017   ; Benzin   ; Yarı Otomatik   ; 1201 - 1400 cm3   ; 126 - 150 HP   ;22000; 17 Kasım 2020   ;415000
 Audi   ; A6   ; A6 Sedan 2.0 TDI Quattro   ; 2016   ; Dizel   ; Yarı Otomatik   ; 1968 cc   ; 190 hp   ;83000; 16 Kasım 2020   ;597750
 Audi   ; A6   ; A6 Sedan 2.0 TDI   ; 2013   ; Dizel   ; Yarı Otomatik   ; 1801 - 2000 cm3   ; 176 - 200 HP   ;205000; 14 Kasım 2020   ;375000
 Audi   ; A4   ; A4 Sedan 1.4 TFSI   ; 2018   ; Benzin   ; Yarı Otomatik   ; 1395 cc   ; 150 hp   ;34210; 14 Kasım 2020   ;430000
 Audi   ; A6   ; A6 Sedan 3.0 TDI Quattro   ; 2016   ; Dizel   ; Yarı Otomatik   ; 2967 cc   ; 272 hp   ;89188; 13 Kasım 2020   ;757000
 Audi   ; A4   ; A4 Sedan 1.4 TFSI   ; 2016   ; Benzin   ; Yarı Otomatik   ; 1201 - 1400 cm3   ; 126 - 150 HP   ;92185; 13 Kasım 2020   ;319000
 Audi   ; A3   ; A3 Sedan 1.6 TDI Dynamic   ; 2017   ; Dizel   ; Yarı Otomatik   ; 1598 cc   ; 116 hp   ;32650; 13 Kasım 2020   ;314000
 Audi   ; A3   ; A3 Sportback 1.6 TDI Attraction   ; 2016   ; Dizel   ; Yarı Otomatik   ; 1598 cc   ; 110 hp   ;125737; 13 Kasım 2020   ;242900
 Audi   ; A3   ; A3 Sportback 1.6 TDI Attraction   ; 2016   ; Dizel   ; Yarı Otomatik   ; 1598 cc   ; 110 hp   ;109829; 13 Kasım 2020   ;244900
 Audi   ; A6   ; A6 Sedan 3.0 TDI Quattro   ; 2016   ; Dizel   ; Yarı Otomatik   ; 2967 cc   ; 272 hp   ;130000; 13 Kasım 2020   ;720000
 Audi   ; A6   ; A6 Sedan 2.0 TDI   ; 2011   ; Dizel   ; Otomatik   ; 1968 cc   ; 170 hp   ;180000; 12 Kasım 2020   ;222000
 Audi   ; A4   ; A4 Sedan 2.0 TDI   ; 2015   ; Dizel   ; Otomatik   ; 1968 cc   ; 150 hp   ;168000; 12 Kasım 2020   ;305000
 Audi   ; A3   ; A3 Sedan 1.6 TDI Dynamic   ; 2016   ; Dizel   ; Yarı Otomatik   ; 1598 cc   ; 110 hp   ;66000; 12 Kasım 2020   ;286750
 Audi   ; A6   ; A6 Sedan 2.0 TDI   ; 2012   ; Dizel   ; Yarı Otomatik   ; 1801 - 2000 cm3   ; 176 - 200 HP   ;215000; 12 Kasım 2020   ;376500
 Audi   ; A3   ; A3 Sedan 1.6 TDI Attraction   ; 2015   ; Dizel   ; Yarı Otomatik   ; 1598 cc   ; 110 hp   ;115000; 10 Kasım 2020   ;247000
